Columbus Crew; 1996; 32; 59; 53; 406; 202; 6; 7; 415; 520; 42; 5; 7; 138; 65.4; 1.88; 16; 303,202; 18,950; 16; 258,273; 16,142
Kansas City Wizards; 1996; 32; 61; 59; 514; 250; 7; 8; 412; 404; 35; 3; 3; 112; 56; 1.97; 16; 206,044; 12,877; 16; 212,926; 13,307
Tampa Bay Mutiny; 1996; 32; 66; 60; 377; 185; 6; 6; 449; 410; 57; 2; 4; 141; 67.5; 1.59; 16; 186,856; 11,678; 16; 331,269; 20,704
MetroStars; 1996; 32; 45; 43; 419; 203; 2; 4; 430; 452; 61; 4; 9; 150; 73.2; 1.47; 16; 382,360; 23,897; 16; 295,952; 18,497
Colorado Rapids; 1996; 32; 44; 41; 435; 201; 3; 3; 394; 389; 48; 2; 4; 130; 63.7; 1.84; 16; 163,413; 10,213; 16; 213,236; 13,327
Los Angeles Galaxy; 1996; 32; 59; 46; 442; 221; 4; 6; 461; 415; 57; 1; 5; 152; 70.4; 1.53; 16; 462,650; 28,915; 16; 346,210; 21,638
New England Revolution; 1996; 32; 43; 42; 383; 174; 6; 7; 514; 436; 63; 5; 6; 150; 67.9; 1.75; 16; 304,392; 19,024; 16; 325,401; 20,337
San Jose Clash; 1996; 32; 50; 54; 420; 209; 3; 3; 515; 485; 59; 4; 8; 128; 64.6; 1.56; 16; 275,712; 17,232; 16; 280,941; 17,558
D.C. United; 1996; 32; 62; 65; 436; 223; 4; 4; 417; 403; 47; 2; 3; 116; 63; 1.75; 16; 244,199; 15,262; 16; 285,426; 17,839
Dallas Burn; 1996; 32; 50; 42; 411; 224; 3; 3; 425; 472; 53; 4; 6; 166; 68; 1.5; 16; 256,173; 16,010; 16; 235,367; 14,710
Columbus Crew; 1997; 32; 42; 55; 452; 180; 3; 5; 439; 484; 33; 3; 7; 142; 73.6; 1.28; 16; 240,650; 15,040; 16; 222,781; 13,923
Kansas City Wizards; 1997; 32; 57; 64; 410; 222; 3; 6; 481; 407; 49; 3; 5; 120; 66.7; 1.59; 16; 144,935; 9,058; 16; 244,597; 15,287
Tampa Bay Mutiny; 1997; 32; 55; 70; 399; 189; 1; 3; 417; 489; 62; 7; 4; 146; 67.3; 1.88; 16; 180,962; 11,310; 16; 266,617; 16,663
MetroStars; 1997; 32; 43; 54; 388; 174; 1; 4; 440; 503; 50; 3; 5; 161; 72.5; 1.66; 16; 270,288; 16,893; 16; 245,763; 15,360
Colorado Rapids; 1997; 32; 50; 63; 433; 185; 4; 5; 475; 426; 42; 2; 6; 151; 69.6; 1.84; 16; 189,355; 11,834; 16; 191,467; 11,966
Los Angeles Galaxy; 1997; 32; 55; 55; 480; 234; 4; 4; 464; 464; 51; 5; 9; 113; 68.9; 1.38; 16; 330,015; 20,625; 16; 246,179; 15,386
New England Revolution; 1997; 32; 40; 35; 399; 196; 3; 5; 534; 455; 47; 3; 7; 124; 67.4; 1.66; 16; 340,762; 21,297; 16; 221,566; 13,847
San Jose Clash; 1997; 32; 55; 78; 423; 206; 2; 3; 458; 463; 43; 4; 3; 131; 63.9; 1.84; 16; 217,546; 13,596; 16; 232,859; 14,553
D.C. United; 1997; 32; 70; 88; 432; 239; 8; 9; 397; 423; 36; 2; 6; 145; 69; 1.66; 16; 267,171; 16,698; 16; 287,944; 17,996
Dallas Burn; 1997; 32; 55; 58; 431; 230; 8; 10; 478; 465; 44; 4; 4; 196; 74.5; 1.53; 16; 154,845; 9,677; 16; 176,756; 11,047
Chicago Fire; 1998; 32; 62; 86; 487; 219; 4; 4; 436; 462; 40; 3; 8; 120; 70.2; 1.41; 16; 286,190; 17,886; 16; 220,734; 13,795
New England Revolution; 1998; 32; 53; 66; 468; 205; 3; 4; 521; 369; 50; 6; 5; 136; 63.6; 2.06; 16; 307,004; 19,187; 16; 217,629; 13,601
Miami Fusion; 1998; 32; 46; 64; 384; 176; 4; 5; 459; 447; 66; 6; 2; 176; 70.7; 2.13; 16; 164,548; 10,284; 16; 253,269; 15,829
MetroStars; 1998; 32; 54; 75; 497; 212; 2; 6; 453; 446; 59; 9; 4; 169; 69.8; 1.97; 16; 264,316; 16,519; 16; 269,493; 16,843
Tampa Bay Mutiny; 1998; 32; 46; 68; 435; 174; 1; 2; 385; 413; 51; 4; 3; 180; 72.3; 1.78; 16; 164,999; 10,312; 16; 226,433; 14,152
Dallas Burn; 1998; 32; 43; 46; 431; 189; 1; 3; 433; 383; 63; 6; 6; 163; 71.8; 1.84; 16; 175,162; 10,947; 16; 198,315; 12,394
Columbus Crew; 1998; 32; 67; 90; 504; 199; 3; 4; 456; 503; 42; 3; 5; 155; 70.5; 1.75; 16; 196,394; 12,274; 16; 228,146; 14,259
Kansas City Wizards; 1998; 32; 45; 53; 442; 201; 3; 6; 466; 435; 35; 5; 6; 103; 64.8; 1.56; 16; 129,163; 8,072; 16; 230,245; 14,390
Colorado Rapids; 1998; 32; 62; 80; 507; 225; 2; 4; 397; 415; 59; 5; 4; 158; 66.1; 2.16; 16; 236,995; 14,812; 16; 198,557; 12,409
Los Angeles Galaxy; 1998; 32; 85; 104; 440; 231; 4; 6; 464; 378; 48; 7; 7; 121; 72.5; 1.38; 16; 348,549; 21,784; 16; 259,795; 16,237
San Jose Clash; 1998; 32; 48; 61; 442; 211; 2; 3; 479; 468; 52; 2; 7; 116; 61.7; 1.88; 16; 218,450; 13,653; 16; 208,139; 13,008
D.C. United; 1998; 32; 74; 74; 505; 248; 7; 9; 453; 413; 54; 5; 7; 110; 66.7; 1.5; 16; 256,127; 16,007; 16; 237,142; 14,821
Chicago Fire; 1999; 32; 51; 63; 448; 201; 3; 5; 495; 450; 56; 6; 7; 113; 72.4; 1.13; 16; 256,261; 16,016; 16; 226,068; 14,129
New England Revolution; 1999; 32; 38; 43; 393; 194; 2; 3; 504; 428; 56; 5; 3; 119; 63; 1.66; 16; 267,752; 16,734; 16; 249,271; 15,579
Miami Fusion; 1999; 32; 42; 56; 417; 181; 2; 3; 482; 447; 59; 7; 6; 134; 64.1; 1.84; 16; 139,021; 8,688; 16; 261,679; 16,354
MetroStars; 1999; 32; 32; 41; 522; 191; 3; 5; 398; 419; 48; 6; 2; 128; 61; 2; 16; 235,301; 14,706; 16; 230,602; 14,412
